INDEX  ROW  COLUMN R   G   B
412    7    28     112 110 104
419    7    35     114 110 109
420    7    36     116 105 104
421    7    37     117 103 99
422    7    38     117 102 101
423    7    39     117 104 103
424    7    40     113 109 106
425    7    41     112 109 106
426    7    42     111 109 103
427    7    43     109 107 101
428    7    44     108 106 100
429    7    45     108 104 101
430    7    46     108 105 102
431    7    47     110 107 104
441    7    57     114 111 108
443    7    59     113 110 107
475    8    27     150 149 140
476    8    28     151 149 137
477    8    29     150 149 140
482    8    34     153 151 145
483    8    35     155 145 138
484    8    36     158 135 128
485    8    37     163 126 118
486    8    38     161 126 119
487    8    39     160 132 127
488    8    40     158 138 137
489    8    41     152 141 139
490    8    42     150 140 131
491    8    43     147 136 125
492    8    44     149 130 117
493    8    45     147 128 115
494    8    46     147 130 120
495    8    47     149 136 130
496    8    48     150 146 143
500    8    52     149 147 135
501    8    53     148 146 131
502    8    54     149 144 135
503    8    55     150 144 139
504    8    56     152 146 141
505    8    57     152 147 138
506    8    58     152 145 138
507    8    59     152 147 138
508    8    60     150 149 140
509    8    61     152 150 138
539    9    27     172 170 155
540    9    28     171 167 156
541    9    29     172 170 155
544    9    32     174 171 168
545    9    33     174 169 160
546    9    34     173 167 151
547    9    35     176 154 135
548    9    36     181 138 119
549    9    37     186 124 107
550    9    38     186 123 116
551    9    39     183 137 130
552    9    40     179 151 146
553    9    41     173 156 148
554    9    42     170 151 138
555    9    43     169 138 123
556    9    44     170 130 107
557    9    45     173 122 98
558    9    46     174 126 102
559    9    47     173 139 122
560    9    48     175 156 143
561    9    49     174 164 157
562    9    50     175 165 156
563    9    51     174 161 145
564    9    52     170 159 137
565    9    53     168 154 130
566    9    54     168 153 132
567    9    55     166 153 137
568    9    56     170 156 143
569    9    57     171 157 144
570    9    58     172 159 142
571    9    59     173 160 143
572    9    60     170 164 146
573    9    61     169 165 145
574    9    62     112 110 95
603    10   27     177 176 167
604    10   28     178 176 164
605    10   29     177 176 167
608    10   32     181 176 167
609    10   33     180 171 151
610    10   34     182 160 131
611    10   35     188 143 108
612    10   36     192 126 95
613    10   37     196 110 87
614    10   38     198 114 99
615    10   39     194 128 118
616    10   40     189 147 142
617    10   41     183 155 144
618    10   42     179 148 133
619    10   43     181 131 104
620    10   44     185 111 77
621    10   45     190 101 56
622    10   46     192 108 63
623    10   47     192 125 88
624    10   48     191 147 120
625    10   49     192 156 133
626    10   50     192 155 136
627    10   51     190 151 125
628    10   52     185 148 119
629    10   53     180 144 109
630    10   54     175 141 112
631    10   55     172 142 117
632    10   56     175 145 125
633    10   57     177 150 128
634    10   58     181 154 132
635    10   59     182 158 134
636    10   60     181 161 140
637    10   61     178 164 140
638    10   62     116 110 92
671    11   31     180 178 172
672    11   32     180 174 156
673    11   33     184 161 125
674    11   34     186 143 94
675    11   35     190 123 65
676    11   36     195 107 58
677    11   37     199 96  63
678    11   38     201 104 80
679    11   39     201 119 101
680    11   40     195 137 124
681    11   41     190 146 131
682    11   42     186 142 122
683    11   43     186 120 89
684    11   44     191 95  49
685    11   45     199 77  19
686    11   46     202 85  24
687    11   47     206 105 49
688    11   48     205 127 78
689    11   49     206 131 87
690    11   50     207 129 85
691    11   51     206 122 81
692    11   52     199 120 82
693    11   53     190 122 85
694    11   54     180 129 92
695    11   55     176 129 99
696    11   56     178 131 108
697    11   57     181 134 111
698    11   58     188 137 113
699    11   59     187 143 116
700    11   60     184 150 124
701    11   61     180 152 127
702    11   62     118 103 86
735    12   31     182 176 171
736    12   32     184 167 148
737    12   33     188 149 103
738    12   34     192 126 57
739    12   35     196 101 27
740    12   36     198 93  27
741    12   37     204 88  39
742    12   38     207 97  59
743    12   39     210 108 77
744    12   40     204 124 99
745    12   41     195 137 114
746    12   42     190 138 112
747    12   43     190 118 79
748    12   44     196 88  37
749    12   45     204 70  3
750    12   46     208 79  8
751    12   47     214 96  32
752    12   48     216 112 52
753    12   49     221 109 52
754    12   50     222 100 42
755    12   51     218 96  40
756    12   52     210 102 54
757    12   53     199 113 71
758    12   54     187 123 90
759    12   55     182 123 99
760    12   56     182 123 99
761    12   57     187 118 93
762    12   58     191 118 91
763    12   59     193 121 93
764    12   60     189 129 102
765    12   61     183 139 112
766    12   62     119 97  78
