INDEX  ROW  COLUMN R   G   B
1043   17   19     186 188 190
1044   17   20     180 182 184
1045   17   21     179 181 183
1103   18   15     111 113 110
1104   18   16     130 134 135
1105   18   17     181 171 173
1107   18   19     190 186 182
1108   18   20     179 177 176
1109   18   21     184 182 177
1110   18   22     188 183 187
1111   18   23     178 182 184
1112   18   24     182 184 186
1167   19   15     115 111 106
1168   19   16     138 132 137
1170   19   18     179 177 172
1171   19   19     181 176 178
1172   19   20     173 170 161
1173   19   21     174 170 172
1175   19   23     180 179 176
1176   19   24     184 179 174
1177   19   25     177 182 179
1178   19   26     177 179 180
1186   19   34     181 183 185
1188   19   36     181 183 185
1189   19   37     179 181 184
1190   19   38     177 180 183
1191   19   39     178 182 181
1192   19   40     176 182 181
1193   19   41     186 181 184
1194   19   42     184 179 181
1195   19   43     177 183 185
1196   19   44     187 179 182
1197   19   45     179 183 185
1214   19   62     186 178 180
1231   20   15     112 110 108
1232   20   16     135 133 127
1234   20   18     172 169 163
1235   20   19     171 160 151
1236   20   20     156 150 142
1237   20   21     158 149 138
1238   20   22     164 152 149
1239   20   23     164 162 163
1241   20   25     177 170 175
1246   20   30     178 182 184
1247   20   31     184 179 181
1250   20   34     187 181 178
1251   20   35     176 185 188
1252   20   36     182 179 178
1253   20   37     177 178 174
1254   20   38     173 171 175
1257   20   41     172 175 177
1259   20   43     176 177 179
1260   20   44     181 182 176
1261   20   45     182 178 177
1262   20   46     176 184 186
1263   20   47     185 179 184
1264   20   48     177 183 182
1265   20   49     177 181 180
1266   20   50     175 181 185
1267   20   51     186 180 183
1268   20   52     182 180 183
1269   20   53     182 180 183
1270   20   54     183 179 182
1271   20   55     183 179 182
1272   20   56     183 178 184
1273   20   57     183 178 184
1274   20   58     181 179 184
1275   20   59     181 179 184
1276   20   60     181 179 184
1277   20   61     181 180 186
1283   21   3      95  83  76
1285   21   5      95  83  76
1295   21   15     110 108 102
1296   21   16     133 132 138
1297   21   17     172 169 171
1298   21   18     171 162 149
1299   21   19     164 152 137
1300   21   20     144 124 107
1301   21   21     134 132 106
1302   21   22     142 127 116
1303   21   23     145 138 127
1304   21   24     151 148 138
1306   21   26     163 160 164
1308   21   28     181 180 182
1309   21   29     180 178 183
1311   21   31     173 174 176
1312   21   32     182 175 179
1313   21   33     179 177 180
1314   21   34     181 182 175
1315   21   35     184 177 178
1317   21   37     173 170 165
1318   21   38     168 163 157
1319   21   39     166 155 145
1320   21   40     167 158 146
1321   21   41     167 156 152
1322   21   42     162 159 152
1323   21   43     165 163 154
1324   21   44     167 166 168
1325   21   45     172 175 173
1326   21   46     181 178 172
1328   21   48     180 175 178
1329   21   49     183 178 181
1330   21   50     182 175 177
1331   21   51     173 180 179
1333   21   53     182 177 176
1334   21   54     176 181 180
1335   21   55     177 179 181
1336   21   56     176 183 173
1337   21   57     174 183 175
1338   21   58     183 179 175
1339   21   59     181 180 175
1342   21   62     177 180 176
1361   22   17     170 172 166
1362   22   18     161 158 156
1363   22   19     155 142 131
1364   22   20     131 116 97
1365   22   21     131 113 106
1366   22   22     133 121 109
1367   22   23     141 137 129
1368   22   24     145 140 141
1369   22   25     156 151 144
1374   22   30     170 164 154
1375   22   31     163 159 151
1376   22   32     172 162 151
1377   22   33     173 165 151
1378   22   34     173 161 157
1379   22   35     170 167 159
1380   22   36     177 165 151
1381   22   37     175 157 141
1382   22   38     165 156 134
1383   22   39     157 142 127
1384   22   40     154 142 130
1385   22   41     153 136 123
1386   22   42     154 139 130
1387   22   43     157 138 127
1388   22   44     158 147 132
1389   22   45     168 150 138
1390   22   46     166 161 151
1391   22   47     172 158 153
1393   22   49     171 168 153
1394   22   50     174 169 152
1395   22   51     171 166 165
1396   22   52     178 165 154
1397   22   53     169 168 163
1398   22   54     176 169 164
1399   22   55     173 168 165
