INDEX  ROW  COLUMN R   G   B
944    8    48     120 121 116
945    8    49     117 119 116
948    8    52     118 119 115
949    8    53     118 120 115
950    8    54     116 117 119
952    8    56     113 114 116
953    8    57     114 115 111
998    8    102    114 116 111
999    8    103    104 102 99
1070   9    46     165 166 168
1073   9    49     157 160 161
1079   9    55     158 152 151
1080   9    56     153 150 148
1081   9    57     156 153 151
1082   9    58     157 159 156
1125   9    101    166 162 161
1128   9    104    140 133 130
1129   9    105    130 126 119
1130   9    106    126 122 119
1131   9    107    127 123 120
1132   9    108    128 124 121
1133   9    109    128 124 121
1134   9    110    128 124 121
1135   9    111    127 124 121
1136   9    112    127 124 121
1137   9    113    127 124 121
1138   9    114    127 124 121
1139   9    115    127 124 121
1141   9    117    130 124 122
1142   9    118    128 124 122
1143   9    119    128 124 122
1144   9    120    130 124 122
1145   9    121    131 124 121
1147   9    123    127 124 125
1148   9    124    127 124 121
1149   9    125    127 124 121
1150   9    126    127 124 125
1197   10   45     182 184 179
1198   10   46     180 182 185
1199   10   47     182 180 177
1200   10   48     173 171 169
1201   10   49     164 162 160
1202   10   50     162 156 154
1203   10   51     163 159 152
1204   10   52     164 163 156
1205   10   53     170 161 157
1206   10   54     162 159 156
1207   10   55     158 151 144
1208   10   56     155 151 144
1209   10   57     160 158 152
1258   10   106    167 165 163
1259   10   107    167 165 163
1260   10   108    168 166 164
1261   10   109    168 166 164
1262   10   110    168 166 164
1263   10   111    168 166 164
1264   10   112    168 166 164
1265   10   113    168 166 164
1266   10   114    168 166 164
1267   10   115    168 166 164
1268   10   116    168 166 164
1270   10   118    170 166 165
1272   10   120    170 166 165
1275   10   123    168 166 163
1276   10   124    168 166 163
1277   10   125    168 166 164
1278   10   126    168 166 164
1279   10   127    168 166 163
1280   10   128    168 166 163
1326   11   46     185 181 184
1327   11   47     178 179 174
1329   11   49     154 145 141
1330   11   50     145 138 131
1331   11   51     149 138 132
1332   11   52     149 144 137
1333   11   53     150 140 131
1334   11   54     145 137 128
1335   11   55     139 130 119
1336   11   56     143 131 124
1337   11   57     152 145 141
1338   11   58     166 163 160
1340   11   60     187 183 182
1386   11   106    183 179 178
1398   11   118    184 180 179
1450   12   42     178 181 183
1451   12   43     177 175 173
1452   12   44     172 168 166
1454   12   46     168 162 161
1455   12   47     160 154 152
1456   12   48     145 140 131
1457   12   49     129 121 112
1458   12   50     120 112 100
1459   12   51     123 108 97
1460   12   52     122 108 95
1461   12   53     116 101 90
1462   12   54     112 98  85
1463   12   55     113 98  83
1464   12   56     121 109 100
1465   12   57     137 132 120
1466   12   58     160 151 147
1467   12   59     170 172 167
1469   12   61     180 181 183
1571   13   35     181 182 184
1572   13   36     180 181 183
1573   13   37     183 180 181
1574   13   38     178 180 183
1575   13   39     181 183 180
1576   13   40     180 184 182
1577   13   41     182 180 185
1578   13   42     176 174 172
1579   13   43     167 163 162
1580   13   44     156 151 153
1581   13   45     151 148 145
1582   13   46     149 143 142
1583   13   47     140 135 130
1584   13   48     128 119 112
1585   13   49     117 101 91
1586   13   50     103 92  77
1587   13   51     98  86  73
1588   13   52     96  79  63
1591   13   55     93  75  58
1592   13   56     111 92  79
1593   13   57     131 121 107
1594   13   58     150 146 135
1595   13   59     168 166 164
1597   13   61     180 181 183
1696   14   32     185 187 182
1697   14   33     182 185 188
1699   14   35     179 177 175
1700   14   36     176 172 169
1701   14   37     173 170 167
1702   14   38     170 171 167
1703   14   39     172 170 167
1705   14   41     168 166 163
1706   14   42     156 155 150
1707   14   43     145 136 130
1708   14   44     125 118 111
1709   14   45     119 108 102
1710   14   46     113 108 98
1711   14   47     112 102 95
1712   14   48     104 90  81
1713   14   49     98  79  66
1720   14   56     99  79  61
1721   14   57     119 107 88
1722   14   58     142 134 125
1723   14   59     164 161 151
1724   14   60     178 173 175
1756   14   92     181 183 178
1760   14   96     180 181 176
1824   15   32     184 186 189
1827   15   35     158 156 150
1828   15   36     146 145 136
1829   15   37     142 138 131
