INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
10     1    10     |0   24  0  | 13  2   15
14     1    14     |0   0   18 | 14  15  15
15     1    15     |0   18  116| 31  31  31
16     1    16     |0   0   0  | 51  52  51
17     1    17     |0   0   0  | 51  51  51
18     1    18     |0   0   0  | 51  51  51
19     1    19     |125 131 133| 53  52  52
20     1    20     |152 151 148| 63  61  60
21     1    21     |183 183 183| 60  59  59
22     1    22     |128 129 132| 51  52  53
23     1    23     |150 146 145| 47  48  50
24     1    24     |202 197 189| 57  57  59
25     1    25     |216 210 212| 67  66  67
26     1    26     |122 128 133| 66  65  65
27     1    27     |121 129 132| 55  56  55
28     1    28     |180 179 184| 45  47  46
29     1    29     |212 209 212| 43  45  44
30     1    30     |212 209 209| 45  47  47
31     1    31     |170 171 168| 47  48  50
32     1    32     |118 125 123| 48  49  51
33     1    33     |120 125 122| 50  51  52
34     1    34     |148 153 154| 59  59  58
35     1    35     |139 145 152| 57  57  56
36     1    36     |133 140 143| 57  56  56
37     1    37     |157 159 164| 50  49  48
38     1    38     |164 164 162| 51  50  46
39     1    39     |211 209 201| 50  48  44
40     1    40     |141 138 147| 50  48  43
41     1    41     |158 156 154| 50  48  43
42     1    42     |153 147 132| 49  47  43
43     1    43     |148 145 131| 47  44  41
44     1    44     |151 144 130| 44  41  38
45     1    45     |152 147 131| 41  38  34
46     1    46     |149 141 130| 39  37  32
47     1    47     |144 135 126| 39  36  30
48     1    48     |131 122 114| 38  36  29
49     1    49     |123 114 103| 39  36  29
50     1    50     |120 109 94 | 40  36  29
51     1    51     |113 107 93 | 41  36  29
52     1    52     |117 108 86 | 40  36  29
53     1    53     |116 109 87 | 39  35  28
54     1    54     |121 109 87 | 38  34  27
55     1    55     |125 109 88 | 36  31  26
56     1    56     |120 108 91 | 33  30  26
57     1    57     |117 106 80 | 31  29  27
58     1    58     |114 99  79 | 29  29  28
59     1    59     |113 98  82 | 29  29  29
60     1    60     |96  85  77 | 30  29  28
61     1    61     |92  88  79 | 31  30  28
62     1    62     |92  92  89 | 31  30  28
63     1    63     |81  81  85 | 31  30  33
64     1    64     |94  89  85 | 34  32  42
65     2    1      |117 108 110| 49  48  42
66     2    2      |143 135 128| 50  49  43
67     2    3      |142 134 122| 55  49  55
68     2    4      |147 138 136| 55  59  58
69     2    5      |127 119 120| 55  60  57
70     2    6      |134 126 125| 46  55  43
71     2    7      |155 146 145| 36  39  35
72     2    8      |176 167 162| 33  31  27
73     2    9      |165 158 150| 43  26  25
74     2    10     |154 149 143| 44  27  27
75     2    11     |100 102 100| 46  36  47
76     2    12     |72  75  73 | 41  44  57
77     2    13     |82  80  76 | 37  40  53
78     2    14     |77  84  76 | 37  40  42
79     2    15     |81  84  76 | 49  54  55
80     2    16     |139 139 139| 76  80  82
81     2    17     |149 155 168| 94  99  99
82     2    18     |44  53  51 | 94  97  98
83     2    19     |137 150 160| 95  97  97
84     2    20     |138 148 153| 100 100 101
85     2    21     |132 146 149| 109 108 109
86     2    22     |121 132 135| 104 105 107
87     2    23     |137 140 140| 93  96  100
88     2    24     |137 141 140| 91  94  98
89     2    25     |153 156 161| 109 111 114
90     2    26     |123 131 138| 123 123 124
91     2    27     |121 128 132| 121 120 121
92     2    28     |137 142 150| 106 107 107
93     2    29     |142 149 153| 92  95  95
94     2    30     |193 194 194| 90  94  94
95     2    31     |169 168 171| 91  95  97
96     2    32     |132 134 138| 94  97  100
97     2    33     |156 161 161| 100 102 104
98     2    34     |136 140 146| 105 106 106
99     2    35     |137 141 148| 112 111 110
100    2    36     |146 155 157| 104 103 101
101    2    37     |139 144 149| 100 99  97
102    2    38     |182 177 175| 96  94  90
103    2    39     |176 172 163| 100 97  89
104    2    40     |121 121 128| 99  94  86
105    2    41     |123 124 119| 97  93  84
106    2    42     |143 139 124| 95  90  82
107    2    43     |152 142 132| 94  88  81
108    2    44     |149 140 130| 91  85  78
109    2    45     |140 135 120| 89  83  75
110    2    46     |139 129 118| 85  78  69
111    2    47     |131 120 112| 79  72  62
112    2    48     |134 123 112| 73  64  52
113    2    49     |137 129 113| 68  59  44
114    2    50     |139 126 113| 69  57  41
115    2    51     |123 110 93 | 71  57  41
116    2    52     |97  83  63 | 72  58  42
117    2    53     |86  64  41 | 72  60  46
118    2    54     |89  59  33 | 74  64  50
119    2    55     |100 65  38 | 75  66  54
120    2    56     |91  62  38 | 69  60  51
121    2    57     |90  69  44 | 62  57  50
122    2    58     |107 88  68 | 59  54  52
123    2    59     |123 106 91 | 58  57  56
124    2    60     |104 97  82 | 57  58  57
125    2    61     |71  62  53 | 58  58  57
126    2    62     |91  83  85 | 59  59  57
127    2    63     |87  85  85 | 75  74  71
128    2    64     |85  88  86 | 97  94  90
129    3    1      |140 135 129| 89  91  84
130    3    2      |148 139 125| 82  81  75
131    3    3      |151 142 131| 87  87  80
