INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
1      1    1      |54  77  66 | 0   0   0
2      1    2      |0   0   48 | 129 255 27
3      1    3      |0   0   0  | 0   255 20
4      1    4      |0   54  0  | 0   0   0
5      1    5      |40  0   0  | 212 255 32
6      1    6      |0   0   0  | 129 255 32
7      1    7      |0   0   64 | 0   255 0
8      1    8      |0   64  0  | 129 255 12
9      1    9      |1   0   0  | 0   0   0
10     1    10     |0   24  0  | 0   255 24
11     1    11     |0   0   0  | 0   255 58
12     1    12     |48  0   0  | 212 255 9
13     1    13     |116 0   0  | 184 255 58
14     1    14     |0   0   18 | 0   0   0
15     1    15     |0   18  116| 0   0   0
16     1    16     |0   0   0  | 0   0   0
17     1    17     |0   0   0  | 234 255 129
18     1    18     |0   0   0  | 33  1   150
19     1    19     |125 131 133| 0   1   183
20     1    20     |152 151 148| 192 255 130
21     1    21     |183 183 183| 9   1   147
22     1    22     |128 129 132| 27  1   195
23     1    23     |150 146 145| 28  1   213
24     1    24     |202 197 189| 217 1   127
25     1    25     |216 210 212| 232 1   126
26     1    26     |122 128 133| 221 1   181
27     1    27     |121 129 132| 85  1   210
28     1    28     |180 179 184| 0   1   210
29     1    29     |212 209 212| 142 1   169
30     1    30     |212 209 209| 160 1   121
31     1    31     |170 171 168| 146 1   122
32     1    32     |118 125 123| 241 1   151
33     1    33     |120 125 122| 210 1   145
34     1    34     |148 153 154| 230 1   138
35     1    35     |139 145 152| 195 1   160
36     1    36     |133 140 143| 44  1   163
37     1    37     |157 159 164| 35  1   206
38     1    38     |164 164 162| 226 1   142
39     1    39     |211 209 201| 22  1   156
40     1    40     |141 138 147| 31  1   142
41     1    41     |158 156 154| 36  1   139
42     1    42     |153 147 132| 29  1   140
43     1    43     |148 145 131| 34  1   141
44     1    44     |151 144 130| 25  1   139
45     1    45     |152 147 131| 22  1   135
46     1    46     |149 141 130| 21  1   122
47     1    47     |144 135 126| 24  1   113
48     1    48     |131 122 114| 25  1   107
49     1    49     |123 114 103| 31  1   103
50     1    50     |120 109 94 | 31  1   101
51     1    51     |113 107 93 | 33  1   101
52     1    52     |117 108 86 | 28  1   104
