|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|54  77  66 | 0   128 128 
|0   0   48 | 0   128 128 
|0   0   0  | 0   128 128 
|0   54  0  | 0   128 128 
|40  0   0  | 0   128 128 
|0   0   0  | 0   128 128 
|0   0   64 | 0   128 128 
|0   64  0  | 0   128 128 
|1   0   0  | 0   128 128 
|0   24  0  | 0   128 128 
|0   0   0  | 0   128 128 
|48  0   0  | 0   128 128 
|116 0   0  | 0   128 128 
|0   0   18 | 0   128 128 
|0   18  116| 0   128 128 
|0   0   0  | 0   128 128 
|0   0   0  | 0   128 128 
|0   0   0  | 0   128 128 
|125 131 133| 0   128 128 
|152 151 148| 0   128 128 
|183 183 183| 0   128 128 
|128 129 132| 0   128 128 
|150 146 145| 0   128 128 
|202 197 189| 0   128 128 
|216 210 212| 0   128 128 
|122 128 133| 0   128 128 
|121 129 132| 0   128 128 
|180 179 184| 0   128 128 
|212 209 212| 0   128 128 
|212 209 209| 0   128 128 
|170 171 168| 0   128 128 
|118 125 123| 0   128 128 
|120 125 122| 0   128 128 
|148 153 154| 0   128 128 
|139 145 152| 0   128 128 
|133 140 143| 0   128 128 
|157 159 164| 0   128 128 
|164 164 162| 0   128 128 
|211 209 201| 0   128 128 
|141 138 147| 0   128 128 
|158 156 154| 0   128 128 
|153 147 132| 0   128 128 
|148 145 131| 0   128 128 
|151 144 130| 0   128 128 
|152 147 131| 0   128 128 
|149 141 130| 0   128 128 
|144 135 126| 0   128 128 
|131 122 114| 0   128 128 
|123 114 103| 0   128 128 
|120 109 94 | 0   128 128 
|113 107 93 | 0   128 128 
|117 108 86 | 0   128 128 
|116 109 87 | 0   128 128 
|121 109 87 | 0   128 128 
|125 109 88 | 0   128 128 
|120 108 91 | 0   128 128 
|117 106 80 | 0   128 128 
|114 99  79 | 0   128 128 
|113 98  82 | 0   128 128 
|96  85  77 | 0   128 128 
|92  88  79 | 0   128 128 
|92  92  89 | 0   128 128 
|81  81  85 | 0   128 128 
|94  89  85 | 0   128 128 
|117 108 110| 0   128 128 
|143 135 128| 0   128 128 
|142 134 122| 0   128 128 
|147 138 136| 0   128 128 
|127 119 120| 0   128 128 
|134 126 125| 0   128 128 
|155 146 145| 0   128 128 
|176 167 162| 0   128 128 
|165 158 150| 0   128 128 
|154 149 143| 0   128 128 
|100 102 100| 0   128 128 
|72  75  73 | 0   128 128 
|82  80  76 | 0   128 128 
|77  84  76 | 0   128 128 
|81  84  76 | 0   128 128 
|139 139 139| 0   128 128 
|149 155 168| 0   128 128 
|44  53  51 | 0   128 128 
|137 150 160| 0   128 128 
|138 148 153| 0   128 128 
|132 146 149| 0   128 128 
